Projected_Year,Simulation,Claim_1,Claim_2,Claim_3,Claim_4,Claim_5,Claim_6,Claim_7,Claim_8,Claim_9,Claim_10,Claim_11,Claim_12,Claim_13,Claim_14,Claim_15,Claim_16,Claim_17,Claim_18,Claim_19,Claim_20,Claim_21,Claim_22,Claim_23,Claim_24,Claim_25,Claim_26,Claim_27,Claim_28,Claim_29,Claim_30,Claim_31,Claim_32,Claim_33,Claim_34,Claim_35,Claim_36,Claim_37,Claim_38,Claim_39,Claim_40,Claim_41,Claim_42,Claim_43,Claim_44,Claim_45,Claim_46,Claim_47,Claim_48,Claim_49,Claim_50,Claim_51,Claim_52,Claim_53,Claim_54,Claim_55,Claim_56,Claim_57,Claim_58,Claim_59,Claim_60,Claim_61,Claim_62,Claim_63,Claim_64,Claim_65,Claim_66,Claim_67,Claim_68,Claim_69,Claim_70,Claim_71,Claim_72,Claim_73,Claim_74,Claim_75,Claim_76,Claim_77,Claim_78,Claim_79,Claim_80,Claim_81,Claim_82,Claim_83
2026,4311,7953,6480,32376,1482,7004,168,17188,436,1241,5579,13442,5464,10,12843,110,1824,91,33045,3095,1603,1041,3514,238,420,706,609,6991,8684,48185.0,46580.0,12363.0,102.0,17271.0,2523.0,14083.0,1271.0,6221.0,522.0,8488.0,453.0,1642.0,89.0,9.0,509.0,181.0,50000.0,7092.0,462.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4312,2160,437,606,1241,1255,10,70,120,866,63,6442,95,60,2136,2220,38547,10408,174,8302,50000,10,578,23,50000,1957,50000,1137,8679,267.0,121.0,2011.0,3164.0,1801.0,22068.0,83.0,50000.0,584.0,50000.0,8496.0,50000.0,11077.0,2998.0,326.0,466.0,558.0,6508.0,358.0,350.0,973.0,37.0,178.0,466.0,4768.0,50000.0,879.0,38.0,48245.0,45584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4313,78,1645,6608,382,50000,4095,173,50000,24399,2624,771,50000,34368,50000,42213,1193,50000,5197,601,6843,53,14215,50000,4378,6149,473,118,9,56.0,948.0,116.0,50000.0,3497.0,965.0,814.0,3421.0,24112.0,88.0,8.0,565.0,732.0,3103.0,540.0,4790.0,436.0,131.0,2295.0,261.0,10619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4314,34386,7362,2534,4287,4075,654,145,17594,50000,18662,45,9529,1050,50000,1545,3344,1177,228,1257,1840,6,21248,25635,50000,9637,5465,53,2323,50000.0,611.0,643.0,1961.0,29093.0,6671.0,970.0,2846.0,50000.0,261.0,744.0,1054.0,50000.0,538.0,335.0,4536.0,19117.0,11849.0,78.0,10381.0,4868.0,29363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4315,1633,3629,202,14247,32588,50000,4342,33,300,306,3593,7290,1813,2853,6143,3180,4202,3,19876,15450,3176,50000,6881,167,7731,2215,297,50000,436.0,50000.0,255.0,582.0,165.0,472.0,1544.0,7582.0,524.0,40492.0,2645.0,323.0,448.0,34607.0,34.0,43823.0,50000.0,74.0,1556.0,39881.0,651.0,1574.0,1803.0,28379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4316,480,57,220,745,27010,13712,27875,5881,50000,1558,50000,6449,14001,7498,1825,514,2995,1884,28475,118,50000,198,6463,72,10,115,496,11,50000.0,1433.0,3.0,3392.0,10887.0,18226.0,50000.0,95.0,50000.0,4531.0,1860.0,1258.0,144.0,125.0,154.0,2999.0,971.0,310.0,9223.0,81.0,419.0,50000.0,194.0,45033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4317,548,2934,12151,1039,641,50,7,39221,1473,2686,241,24,15,1182,33191,50000,50000,12448,160,2031,50000,13681,44,15316,680,20115,815,793,6033.0,34127.0,1016.0,249.0,3605.0,474.0,6542.0,20358.0,253.0,798.0,1446.0,50000.0,503.0,50000.0,115.0,220.0,5277.0,50000.0,1722.0,4806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4318,50000,570,50000,8835,1345,338,1471,207,45070,6527,24904,2,50000,831,4971,2580,48,10610,943,20858,3346,16344,2678,10501,25818,3428,24534,536,4282.0,39866.0,960.0,50000.0,451.0,50000.0,205.0,8536.0,62.0,2132.0,19709.0,50000.0,6502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4319,284,579,1844,8028,574,43,191,132,2377,23001,1422,117,607,789,206,4286,50000,1120,15173,436,9735,50000,2072,904,1058,2180,23151,50000,2.0,18452.0,378.0,358.0,186.0,49.0,7198.0,2117.0,10609.0,3887.0,274.0,148.0,152.0,1322.0,11811.0,8564.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4320,556,50000,2161,710,15635,3649,15,455,441,1022,332,50000,1184,8739,2621,819,13269,6081,599,43183,2497,50000,50000,110,50000,2353,50000,41994,44585.0,541.0,3403.0,50000.0,312.0,12147.0,57.0,40530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4321,243,8693,50000,798,1316,776,2818,50000,3374,1420,50000,31180,894,15,38731,311,20573,313,520,5357,509,50000,899,3630,1462,2362,24383,1382,1444.0,4823.0,10.0,887.0,2771.0,50000.0,4.0,14.0,16346.0,889.0,14959.0,258.0,27957.0,36428.0,16.0,95.0,2562.0,4972.0,1848.0,149.0,2299.0,23898.0,59.0,50000.0,2337.0,464.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
